
Strain min: -0.069797 -0.0532789 -0.0265724 
Strain max: 0.0954499 0.0426219 0.0842031 
Stress min: -8.80798 -4.39938 -1.02202 
Stress max: 11.6988 4.77031 3.23858 

Node Strain: 
-----------------
n, e.x, e.y, e.z
0: 0.276678 -0.0347168 0 
1: 0.584807 -0.209749 0 
2: 0.554568 -0.299882 0 
3: 0.358064 -0.105338 0 
4: 0.2192 -0.0742759 0 
5: 0.107575 -0.0937872 0 
6: 0.319007 -0.0419825 0 
7: 0.681718 -0.238189 0 
8: 0.667899 -0.347016 0 
9: 0.463333 -0.146571 0 
10: 0.303108 -0.111251 0 
11: 0.144963 -0.115489 0 
12: -0.14678 0.00895471 0 
13: -0.295317 0.116794 0 
14: -0.213243 0.15531 0 
15: -0.0173405 -0.033065 0 
16: 0.0904585 -0.0609747 0 
17: 0.043093 0.0195608 0 
18: -0.189109 0.0162204 0 
19: -0.392228 0.145234 0 
20: -0.326574 0.202444 0 
21: -0.12261 0.0081688 0 
22: 0.0065509 -0.024 0 
23: 0.00570581 0.0412624 0 

Node Stress: 
-----------------
n, s.x, s.y, s.z
0: 35.2422 11.2888 0 
1: 66.6231 5.50335 0 
2: 57.3526 -8.37435 0 
3: 42.1238 6.47749 0 
4: 25.2225 2.64748 0 
5: 9.07051 -6.41892 0 
6: 40.5212 12.7528 0 
7: 78.028 7.26599 0 
8: 69.8893 -8.18104 0 
9: 53.9158 7.00002 0 
10: 34.3846 2.51094 0 
11: 12.8514 -7.18334 0 
12: -19.2422 -7.26264 0 
13: -33.0161 -1.3152 0 
14: -19.7456 8.60465 0 
15: -4.2419 -5.45147 0 
16: 8.65933 -2.98937 0 
17: 6.92949 5.11932 0 
18: -24.5212 -8.72663 0 
19: -44.4211 -3.07784 0 
20: -32.2824 8.41134 0 
21: -16.0339 -5.974 0 
22: -0.50276 -2.85283 0 
23: 3.14861 5.88373 0 
