           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0            0            0            0            0  6.02008e-16            0            0  6.02008e-16     0.102612            0            0     0.102612
           1            0            0            0            0  9.18516e-15  1.87047e-15  7.92838e-15 -4.24374e-15      0.31479    0.0800308     0.211545     0.218944
           2            0            0            0            0  3.75297e-15 -3.29154e-15 -1.01025e-15   1.4933e-15      0.65286     0.297913     0.475705     0.333434
           3      1.41421            0            1            1      1.41421 -2.02731e-14            1            1      1.19576     0.686525     0.370418     0.906263
           4            0            0            0            0  1.01466e-15            0            0 -1.01466e-15    0.0357269            0            0    0.0357269
           5            0            0            0            0  1.17947e-14  2.84826e-15  1.95451e-15 -1.12775e-14     0.238271    0.0626724    0.0808586      0.21519
           6            0            0            0            0  8.57396e-15  4.04058e-15 -3.52179e-15 -6.69205e-15     0.466247      0.11771     0.429519     0.138001
           7      1.41421            0            1            1      1.41421  7.22444e-15            1            1      1.11651       0.6552     0.154805     0.890693
           8            0            0            0            0  8.18189e-16            0            0 -8.18189e-16    0.0145624            0            0   -0.0145624
           9            0            0            0            0  1.45469e-14 -4.05593e-16 -8.01406e-17  1.45411e-14      0.22004    0.0590395   -0.0324032      0.20948
          10            0            0            0            0  1.53269e-15 -1.09195e-15  5.50364e-16  9.24065e-16     0.428306   -0.0398798     0.424845   -0.0369114
          11      1.41421            0            1            1      1.41421 -1.25667e-14            1            1      1.09797      0.65322   -0.0350218     0.881823
          12            0            0            0            0  2.91558e-16            0            0  2.91558e-16    0.0799922            0            0   -0.0799922
          13            0            0            0            0  2.33878e-15  2.40612e-16   1.7369e-15 -1.54763e-15     0.269268    0.0671497    -0.163711     0.202965
          14            0            0            0            0  9.60958e-15 -8.87995e-15  2.54049e-15  2.65262e-15     0.555342    -0.217962     0.460732    -0.220508
          15      1.41421            0            1            1      1.41421  8.56631e-15            1            1      1.13096     0.675851    -0.219544     0.879823
