
Strain min: -0.0693393 -0.0693393 0 -1.44799e-16 -0.014108 -0.014108 
Strain max: 0 0 0.143236 8.89695e-16 0.014108 0.014108 
Stress min: 0 0 0 -4.84276e-13 -47.184 -47.184 
Stress max: 1934.46 1934.46 2467.19 2.97557e-12 47.184 47.184 

Node Strain: 
-----------------
n, e.x, e.y, e.z
0, -0.0977433, -0.0977433, 0.220831, 
1, -0.0977433, -0.0977433, 0.220831, 
2, -0.334165, -0.334165, 0.713527, 
3, -0.334165, -0.334165, 0.713527, 
4, -0.513779, -0.513779, 1.06564, 
5, -0.513779, -0.513779, 1.06564, 
6, -0.513779, -0.513779, 1.06564, 
7, -0.513779, -0.513779, 1.06564, 
8, -0.334165, -0.334165, 0.713527, 
9, -0.334165, -0.334165, 0.713527, 
10, -0.0977433, -0.0977433, 0.220831, 
11, -0.0977433, -0.0977433, 0.220831, 
12, -0.0977433, -0.0977433, 0.220831, 
13, -0.0977433, -0.0977433, 0.220831, 
14, -0.334165, -0.334165, 0.713527, 
15, -0.334165, -0.334165, 0.713527, 
16, -0.513779, -0.513779, 1.06564, 
17, -0.513779, -0.513779, 1.06564, 
18, -0.513779, -0.513779, 1.06564, 
19, -0.513779, -0.513779, 1.06564, 
20, -0.334165, -0.334165, 0.713527, 
21, -0.334165, -0.334165, 0.713527, 
22, -0.0977433, -0.0977433, 0.220831, 
23, -0.0977433, -0.0977433, 0.220831, 

Node Stress: 
-----------------
n, s.x, s.y, s.z
0, 7737.83, 7737.83, 9868.76, 
1, 7737.83, 7737.83, 9868.76, 
2, 12729.5, 12729.5, 19737.5, 
3, 12729.5, 12729.5, 19737.5, 
4, 9172.82, 9172.82, 19737.5, 
5, 9172.82, 9172.82, 19737.5, 
6, 9172.82, 9172.82, 19737.5, 
7, 9172.82, 9172.82, 19737.5, 
8, 12729.5, 12729.5, 19737.5, 
9, 12729.5, 12729.5, 19737.5, 
10, 7737.83, 7737.83, 9868.76, 
11, 7737.83, 7737.83, 9868.76, 
12, 7737.83, 7737.83, 9868.76, 
13, 7737.83, 7737.83, 9868.76, 
14, 12729.5, 12729.5, 19737.5, 
15, 12729.5, 12729.5, 19737.5, 
16, 9172.82, 9172.82, 19737.5, 
17, 9172.82, 9172.82, 19737.5, 
18, 9172.82, 9172.82, 19737.5, 
19, 9172.82, 9172.82, 19737.5, 
20, 12729.5, 12729.5, 19737.5, 
21, 12729.5, 12729.5, 19737.5, 
22, 7737.83, 7737.83, 9868.76, 
23, 7737.83, 7737.83, 9868.76, 
