n	u.x	u.y	u.z	f.x	f.y	f.z
           0 -6.83027e-05 -6.83027e-05  0.000579308            0            0            1
           1 -6.83027e-05  6.83027e-05  0.000579308            0            0            1
           2 -6.23513e-05 -6.23513e-05  0.000311333            0            0            0
           3 -6.23513e-05  6.23513e-05  0.000311333            0            0            0
           4 -4.21896e-05 -4.21896e-05  9.45499e-05            0            0            0
           5 -4.21896e-05  4.21896e-05  9.45499e-05            0            0            0
           6            0            0            0            0            0            0
           7            0            0            0            0            0            0
           8  6.83027e-05 -6.83027e-05  0.000579308            0            0            1
           9  6.83027e-05  6.83027e-05  0.000579308            0            0            1
          10  6.23513e-05 -6.23513e-05  0.000311333            0            0            0
          11  6.23513e-05  6.23513e-05  0.000311333            0            0            0
          12  4.21896e-05 -4.21896e-05  9.45499e-05            0            0            0
          13  4.21896e-05  4.21896e-05  9.45499e-05            0            0            0
          14            0            0            0            0            0            0
          15            0            0            0            0            0            0
