FEA Data
---------
Element: C3D6
Number of nodes: 0
Number of elements: 0
Strain energy: 0.00164421


Strain min: -5.55777e-06 -1.60844e-05 -4.36472e-05 -1.23641e-17 0 -4.19323e-17 
Strain max: 5.09664e-06 4.90334e-05 1.03264e-05 3.80917e-17 0.000225259 3.90459e-17 
Stress min: -0.524997 -0.659941 -0.556956 -4.13515e-14 0 -1.40242e-13 
Stress max: 0.411924 0.715311 0.357824 1.27397e-13 0.753375 1.30588e-13 


Node Strain: 
-----------------
n, e.x, e.y, e.z
0, 0, 6.51423e-08, 0, 
1, 0, 6.51423e-08, 0, 
2, -2.56696e-08, 1.22513e-07, 3.65283e-20, 
3, -2.56696e-08, 1.22513e-07, 3.65283e-20, 
4, 3.00478e-06, 7.73231e-07, -3.40162e-06, 
5, 3.00478e-06, 7.73231e-07, -3.40162e-06, 
6, 6.98232e-06, 1.99478e-06, -8.61418e-06, 
7, 6.98232e-06, 1.99478e-06, -8.61418e-06, 
8, 1.4136e-05, -3.29511e-06, -1.67332e-05, 
9, 1.4136e-05, -3.29511e-06, -1.67332e-05, 
10, -1.17562e-06, 0.000131796, -0.000133283, 
11, -1.17562e-06, 0.000131796, -0.000133283, 
12, -3.09669e-06, -2.98895e-07, 3.40162e-06, 
13, -3.09669e-06, -2.98895e-07, 3.40162e-06, 
14, -6.62615e-06, -2.0138e-06, 8.61418e-06, 
15, -6.62615e-06, -2.0138e-06, 8.61418e-06, 
16, -1.08625e-05, -5.85174e-06, 1.67332e-05, 
17, -1.08625e-05, -5.85174e-06, 1.67332e-05, 
18, -1.50331e-05, 5.48388e-05, -4.13056e-05, 
19, -1.50331e-05, 5.48388e-05, -4.13056e-05, 
20, -1.66568e-05, 0.000187063, -0.000174589, 
21, -1.66568e-05, 0.000187063, -0.000174589, 
22, -1.95484e-05, 0.000196134, -0.000174589, 
23, -1.95484e-05, 0.000196134, -0.000174589, 

Node Stress: 
-----------------
n, s.x, s.y, s.z
0, 0.0215689, 0.0220046, 0.0215689, 
1, 0.0215689, 0.0220046, 0.0215689, 
2, 0.0318935, 0.0328847, 0.0320652, 
3, 0.0318935, 0.0328847, 0.0320652, 
4, 0.144722, 0.129795, 0.10187, 
5, 0.144722, 0.129795, 0.10187, 
6, 0.166869, 0.133508, 0.0625447, 
7, 0.166869, 0.133508, 0.0625447, 
8, -1.8564, -1.973, -2.06288, 
9, -1.8564, -1.973, -2.06288, 
10, -0.889443, 1.78857e-13, -1.7731, 
11, -0.889443, 1.78857e-13, -1.7731, 
12, -0.0187143, 3.07532e-14, 0.0247526, 
13, -0.0187143, 3.07532e-14, 0.0247526, 
14, -0.0528564, -0.0220046, 0.0490856, 
15, -0.0528564, -0.0220046, 0.0490856, 
16, -0.0664017, -0.0328847, 0.118185, 
17, -0.0664017, -0.0328847, 0.118185, 
18, -0.597166, -0.129795, -0.772902, 
19, -0.597166, -0.129795, -0.772902, 
20, -1.49618, -0.133508, -2.55258, 
21, -1.49618, -0.133508, -2.55258, 
22, 0.530308, 1.973, -0.506751, 
23, 0.530308, 1.973, -0.506751, 
