           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0            0            0            0            0            0            0            0            0            0            0            0            0
           1            0            0            0            0            0            0            0            0            0            0            0            0
           2            0            0            0            0  2.46513e-13 -1.21323e-13  5.36796e-14  2.07769e-13  0.000149607  7.67755e-07  1.62856e-08  0.000149605
           3            0            0            0            0  8.77557e-13  1.17232e-13  2.03679e-13  8.45505e-13  0.000149607 -7.67755e-07  1.62856e-08  0.000149605
           4            0            0            0            0  9.79824e-13  1.06841e-13 -1.74572e-13  -9.5821e-13  0.000298812  1.63356e-06  1.21638e-07  0.000298808
           5            0            0            0            0   4.8518e-13 -1.82831e-13 -1.56431e-13   4.2131e-13  0.000298812 -1.63356e-06  1.21638e-07  0.000298808
           6            0            0            0            0  1.80213e-13  7.55643e-14   1.1658e-13 -1.14786e-13  0.000446668  2.81109e-06  7.27387e-07  0.000446659
           7            0            0            0            0  1.87039e-13 -1.01281e-13 -1.54565e-13  2.89029e-14  0.000446668 -2.81109e-06  7.27387e-07  0.000446659
           8            0            0            0            0  4.46974e-12  7.29756e-13 -7.49732e-13 -4.34557e-12  0.000604926  4.59319e-06  2.17122e-06  0.000604904
           9            0            0            0            0  3.53673e-12 -7.37228e-13 -5.04638e-13 -3.42203e-12  0.000604926 -4.59319e-06  2.17122e-06  0.000604904
          10            1            0            0            1            1 -2.04918e-18  6.76796e-13            1  0.000811325  4.74228e-06 -1.39131e-05  0.000811192
          11            1            0            0            1            1 -3.49932e-15   6.8631e-13            1  0.000811325 -4.74228e-06 -1.39131e-05  0.000811192
          12            0            0            0            0            0            0            0            0            0            0            0            0
          13            0            0            0            0            0            0            0            0            0            0            0            0
          14            0            0            0            0   2.9226e-13 -1.27933e-13  1.43465e-13 -2.20152e-13  0.000149182  7.74173e-07 -9.10094e-08   0.00014918
          15            0            0            0            0  8.10273e-13  7.69069e-14  2.07904e-13 -7.79361e-13  0.000149182 -7.74173e-07 -9.10094e-08   0.00014918
          16            0            0            0            0  4.62729e-13  1.25393e-13  9.59959e-14  4.34948e-13  0.000297736  1.65012e-06 -6.08803e-07  0.000297731
          17            0            0            0            0  4.18243e-13 -1.93476e-13  7.83049e-14  3.62439e-13  0.000297736 -1.65012e-06 -6.08803e-07  0.000297731
          18            0            0            0            0  1.05687e-12  7.22676e-14   6.9508e-13  7.92847e-13  0.000444581  2.69907e-06 -2.15969e-06  0.000444567
          19            0            0            0            0  1.07352e-12  3.06738e-14  7.36394e-13   7.8053e-13  0.000444581 -2.69907e-06 -2.15969e-06  0.000444567
          20            0            0            0            0  3.32278e-12  1.13051e-12 -6.27492e-13  3.06089e-12  0.000610191  3.87029e-06  1.16571e-05  0.000610067
          21            0            0            0            0   3.1365e-12  -6.0116e-13  1.89524e-13  3.07251e-12  0.000610191 -3.87029e-06  1.16571e-05  0.000610067
          22            1            0            0            1            1  5.84139e-13 -2.50371e-13            1  0.000835238   4.8871e-06  6.06905e-05  0.000833015
          23            1            0            0            1            1 -5.62799e-13 -9.38779e-13            1  0.000835238  -4.8871e-06  6.06905e-05  0.000833015
