FEA Data
---------
Element: C3D6
Number of nodes: 0
Number of elements: 0
Strain energy: 0.000433692


Strain min: -2.461e-05 -2.57061e-05 0 -1.91406e-07 -2.11551e-05 -2.65794e-05 
Strain max: 0 0 5.61812e-05 1.20026e-05 2.55763e-05 3.25738e-05 
Stress min: -0.487863 -0.512401 -0.0440958 -0.000646642 -0.0714699 -0.0897952 
Stress max: 0.779099 0.740619 1.06074 0.0405492 0.0864064 0.110047 


Node Strain: 
-----------------
n, e.x, e.y, e.z
0, -2.1752e-05, -4.45324e-05, 8.44003e-05, 
1, -4.70586e-05, -8.18319e-05, 0.000164514, 
2, -2.53066e-05, -3.72995e-05, 8.0114e-05, 
3, -4.70586e-05, -8.18319e-05, 0.000164514, 
4, -7.69747e-05, -0.000140449, 0.000246617, 
5, -0.000163619, -0.000260743, 0.000482796, 
6, -8.66442e-05, -0.000120294, 0.000236179, 
7, -0.000163619, -0.000260743, 0.000482796, 
8, -0.000128934, -0.000198732, 0.000348083, 
9, -0.000267276, -0.000374822, 0.000683783, 
10, -0.000138342, -0.00017609, 0.0003357, 
11, -0.000267276, -0.000374822, 0.000683783, 
12, -0.000158699, -0.000204247, 0.000381042, 
13, -0.000321734, -0.000390787, 0.000748789, 
14, -0.000163036, -0.000186541, 0.000367747, 
15, -0.000321734, -0.000390787, 0.000748789, 
16, -0.000173285, -0.000204255, 0.000394744, 
17, -0.000357756, -0.000381323, 0.000773303, 
18, -0.000184471, -0.000177068, 0.00037856, 
19, -0.000357756, -0.000381323, 0.000773303, 
20, -8.82977e-05, -0.000102824, 0.000199569, 
21, -0.000186738, -0.000186447, 0.000390016, 
22, -9.84399e-05, -8.36225e-05, 0.000190448, 
23, -0.000186738, -0.000186447, 0.000390016, 

Node Stress: 
-----------------
n, s.x, s.y, s.z
0, 1.32189, 1.16796, 2.03913, 
1, 2.57045, 2.3355, 4, 
2, 1.24857, 1.16753, 1.96087, 
3, 2.57045, 2.3355, 4, 
4, 1.84693, 1.41805, 4.03336, 
5, 3.63233, 2.97609, 8, 
6, 1.7854, 1.55804, 3.96664, 
7, 3.63233, 2.97609, 8, 
8, 0.784257, 0.312648, 4.00734, 
9, 1.57392, 0.847258, 8, 
10, 0.789664, 0.53461, 3.99266, 
11, 1.57392, 0.847258, 8, 
12, 0.39499, 0.0872326, 4.04188, 
13, 0.766735, 0.300158, 8, 
14, 0.371745, 0.212926, 3.95812, 
15, 0.766735, 0.300158, 8, 
16, 0.224016, 0.0147587, 4.06205, 
17, 0.357708, 0.19847, 8, 
18, 0.133692, 0.183711, 3.93795, 
19, 0.357708, 0.19847, 8, 
20, 0.0882387, -0.00991483, 2.03328, 
21, 0.103013, 0.104977, 4, 
22, 0.0147745, 0.114892, 1.96672, 
23, 0.103013, 0.104977, 4, 
